,rating,difficulty,stream_total,breakdown,stream_count,stream_size_max,stream_size_avg,stream_size_std,break_count,break_size_max,break_size_avg,break_total,break_size_std,measure_count,jumps,hands,quads,mines,holds,rolls,step_count,song_nps,nps_per_measure_max,nps_per_measure_avg,nps_per_measure_median,nps_per_measure_std,nps_per_measure_mode,crossovers,footswitches,crossover_footswitches,jacks,invalid_crossovers,title,artist,song_seconds,bpm_change_count,stop_count,bpm_max,bpm_min,bpm_weighted_avg,bpm_mode
0,9,Easy,2,(23)-1-(39)-1-(45),2.0,1.0,1.0,0.0,3.0,45.0,35.666666666666664,107.0,11.372481406154654,109,19,0,0,24,92,1,834,4.39954128440368,8.05,4.39954128440367,4.6000000000000005,1.4070999762586964,4.6000000000000005,30,46,22,25,12,BAAM,ëª¨ëª¨ëžœë“œ,189.5652173913039,0,0,138.0,138.0,138.0,138.0
1,10,Medium,26,(23)-1-(12)-8-(19)-1-(12)-8-(8)-8-(9),5.0,8.0,5.2,3.8340579025361627,6.0,23.0,13.833333333333334,83.0,5.913261931173578,109,16,0,0,24,83,1,1023,5.396559633027536,9.200000000000001,5.396559633027524,4.6000000000000005,2.4643745635488394,4.6000000000000005,15,33,13,10,11,BAAM,ëª¨ëª¨ëžœë“œ,189.5652173913039,0,0,138.0,138.0,138.0,138.0
2,11,Hard,44,(4)-3-(1)-3-(12)-1-(12)-11-(1)-3-(12)-1-(12)-8-(8)-11-(1)-3-(2),9.0,11.0,4.888888888888889,4.013864859597431,10.0,12.0,6.5,65.0,5.1693541397569405,109,16,0,0,24,83,1,1149,6.0612385321101065,9.200000000000001,6.061238532110092,5.175,2.827253456845048,9.200000000000001,8,32,6,4,12,BAAM,ëª¨ëª¨ëžœë“œ,189.5652173913039,0,0,138.0,138.0,138.0,138.0
3,12,Challenge,73,(4)-3-(1)-3-(1)-16-(8)-11-(1)-3-(9)-8-(8)-15-(1)-11-(1)-3-(2),9.0,16.0,8.11111111111111,5.372253820428733,10.0,9.0,3.6,36.0,3.4058772731852804,109,12,0,0,24,69,1,1377,7.263990825688091,9.200000000000001,7.263990825688074,9.200000000000001,2.9679059349655854,9.200000000000001,4,22,4,0,6,BAAM,ëª¨ëª¨ëžœë“œ,189.5652173913039,0,0,138.0,138.0,138.0,138.0
4,9,Easy,7,(32)-3-(37)-3-(15)-1-(18),3.0,3.0,2.3333333333333335,1.1547005383792515,4.0,37.0,25.5,102.0,10.661457061146317,109,120,0,0,28,117,1,973,5.132798165137627,9.200000000000001,5.132798165137615,5.175,2.1050003773194725,4.6000000000000005,11,45,10,11,18,ë¿œë¿œ,ëª¨ëª¨ëžœë“œ,189.5652173913039,0,0,138.0,138.0,138.0,138.0
5,10,Medium,31,(32)-3-(1)-8-(28)-3-(1)-8-(6)-1-(1)-8-(9),6.0,8.0,5.166666666666667,3.188521078284832,7.0,32.0,11.142857142857142,78.0,13.284434142114993,109,36,0,0,28,75,1,1078,5.6866972477064355,9.200000000000001,5.686697247706422,5.175,2.629560784000175,4.6000000000000005,11,45,10,11,18,ë¿œë¿œ,ëª¨ëª¨ëžœë“œ,189.5652173913039,0,0,138.0,138.0,138.0,138.0
6,11,Hard,55,(4)-8-(20)-3-(1)-16-(20)-3-(1)-8-(6)-1-(1)-16-(1),7.0,16.0,7.857142857142857,6.148944934663491,8.0,20.0,6.75,54.0,8.379396500601086,109,24,0,0,28,47,1,1258,6.636238532110108,9.200000000000001,6.6362385321100925,8.05,2.898893239953772,9.200000000000001,12,33,11,2,9,ë¿œë¿œ,ëª¨ëª¨ëžœë“œ,189.5652173913039,0,0,138.0,138.0,138.0,138.0
7,12,Challenge,78,(4)-8-(8)-8-(4)-3-(1)-16-(8)-8-(4)-3-(1)-32-(1),7.0,32.0,11.142857142857142,10.172324733127157,8.0,8.0,3.875,31.0,2.9001231500945415,109,2,0,0,28,25,1,1417,7.475000000000018,9.200000000000001,7.4750000000000005,9.200000000000001,2.9225238807122405,9.200000000000001,9,24,8,0,6,ë¿œë¿œ,ëª¨ëª¨ëžœë“œ,189.5652173913039,0,0,138.0,138.0,138.0,138.0
8,9,Medium,0,(107),,,,,,,,,,107,13,0,0,22,34,0,794,4.266822429906552,6.325,4.266822429906543,4.6000000000000005,1.635978068849428,4.6000000000000005,25,73,23,6,15,Cake By The Ocean,DNCE,186.0869565217387,0,0,138.0,138.0,138.0,138.0
9,11,Hard,40,(28)-8-(26)-16-(12)-16-(1),3.0,16.0,13.333333333333334,4.618802153517006,4.0,28.0,16.75,67.0,12.685293322058685,107,7,0,0,22,33,0,1103,5.927336448598145,9.200000000000001,5.9273364485981315,5.175,2.96621608884694,9.200000000000001,17,44,15,6,8,Cake By The Ocean,DNCE,186.0869565217387,0,0,138.0,138.0,138.0,138.0
