,rating,difficulty,stream_total,breakdown,stream_count,stream_size_max,stream_size_avg,stream_size_std,break_count,break_size_max,break_size_avg,break_total,break_size_std,measure_count,jumps,hands,quads,mines,holds,rolls,step_count,song_nps,nps_per_measure_max,nps_per_measure_avg,nps_per_measure_median,nps_per_measure_std,nps_per_measure_mode,crossovers,footswitches,crossover_footswitches,jacks,invalid_crossovers,title,artist,song_seconds,bpm_change_count,stop_count,bpm_max,bpm_min,bpm_weighted_avg,bpm_mode
0,14,Challenge,124,(13)-13-(5)-1-(6)-11-(1)-23-(1)-12-(13)-10-(2)-22-(2)-11-(12)-11-(2)-10-(4),10,23,12.4,6.2574400161372346,11,13,5.545454545454546,61,4.844866073765845,185,8,0,0,0,30,0,2387,5.311150973834311,6.48,5.248902187902188,6.48,1.9278175364187722,6.48,0,0,0,0,0,å¤©æ²¼çŸ›,Gram,449.43177321821435,16,0,155.0,97.2,-268.5127113849031,155.0
1,14,Challenge,116,(1)-32-(42)-64-(20)-1-(1)-19-(3),4,64,29.0,26.570660511172846,5,42,13.4,67,17.86896751354146,183,5,0,0,0,67,0,2155,7.85063752276867,10.666666666666666,7.85063752276867,10.666666666666666,4.041244687808521,10.666666666666666,1,2,0,0,1,conflict,siromaru + cranky,274.5,0,0,160.0,160.0,160.0,160.0
2,14,Challenge,134,(4)-12-(1)-15-(1)-7-(4)-36-(1)-15-(1)-3-(1)-15-(2)-1-(1)-5-(1)-10-(1)-15-(1),11,36,12.181818181818182,9.44264985920988,12,4,1.5833333333333333,19,1.164500152881315,153,0,0,0,0,4,0,2249,9.799564270152505,10.666666666666666,9.799564270152505,10.666666666666666,2.5317688697943987,10.666666666666666,0,0,0,0,0,QuaQ,å‰Šé™¤,229.5,0,0,160.0,160.0,160.0,160.0
3,15,Challenge,115,(9)-8-(8)-9-(14)-1-(2)-23-(8)-9-(8)-7-(1)-32-(12)-3-(1)-23-(1),9,32,12.777777777777779,10.592187896957098,10,14,6.4,64,4.835057163858332,179,2,0,0,0,64,0,2188,9.676908752327735,12.666666666666668,9.676908752327748,12.666666666666668,4.194591797399136,12.666666666666668,0,1,0,0,4,Realizm,Endorfin.,226.105263157895,0,0,190.0,190.0,190.0,190.0
4,15,Challenge,144,(22)-7-(1)-6-(2)-14-(2)-16-(6)-7-(1)-32-(6)-8-(2)-7-(12)-7-(1)-7-(9)-1-(1)-1-(1)-1-(1)-2-(8)-8-(30)-1-(7)-2-(6)-1-(15)-1-(1)-15-(23),20,32,7.2,7.564459837396122,21,30,7.476190476190476,157,8.45351434386343,301,29,0,0,9,34,6,3310,8.26879122336934,14.666666666666668,8.267760243632337,9.200000000000001,4.243501624118854,12.666666666666668,4,17,1,2,4,SUPER MEMORIES,Kobaryo feat. HiTNEX-X,400.3003474855243,21,0,220.0,138.0,139.5668585976565,190.0
5,15,Challenge,96,(25)-1-(1)-1-(1)-3-(5)-1-(9)-16-(1)-9-(1)-1-(1)-19-(1)-2-(1)-3-(1)-5-(1)-35-(10),12,35,8.0,10.470738447519528,13,25,4.461538461538462,58,6.959590320981361,154,0,0,0,0,42,0,1844,9.08030303030305,12.133333333333333,9.08030303030303,12.133333333333333,4.426009132722073,12.133333333333333,1,6,0,0,4,The Bridgeport Run,The Flashbulb,203.07692307692264,0,0,182.0,182.0,182.0,182.0
6,15,Challenge,160,(1)-53-(1)-38-(30)-9-(3)-51-(1)-9-(2),5,53,32.0,21.77154105707724,6,30,6.333333333333333,38,11.621818561080133,198,20,0,0,0,32,0,2871,9.776522998467021,11.0,9.838931607744108,11.0,2.5408413700731596,11.0,1,0,0,0,0,The Fourth Legacy,Kamelot,293.6626856450068,18,0,165.0,149.6,152.4551002439922,150.1
7,16,Challenge,138,(16)-73-(8)-15-(31)-50-(17),3,73,46.0,29.206163733020468,4,31,18.0,72,9.556847457887633,210,0,0,0,1,19,0,2512,9.17079365079363,12.266666666666666,9.17079365079365,12.266666666666666,4.688919818473582,12.266666666666666,1,0,0,0,1,Cybernecia Catharsis,Tanchiky,273.9130434782615,0,0,184.0,184.0,184.0,184.0
8,16,Challenge,137,(16)-12-(4)-31-(1)-32-(8)-30-(2)-32-(9),5,32,27.4,8.648699324175862,6,16,6.666666666666667,40,5.573747990954261,177,0,0,0,0,9,0,2385,10.66737288135592,12.666666666666668,10.667372881355933,12.666666666666668,4.032370485225655,12.666666666666668,0,1,0,0,0,Get Your Wish,Porter Robinson,223.5789473684213,0,0,190.0,190.0,190.0,190.0
9,16,Challenge,257,(1)-96-(19)-33-(8)-128-(17),3,128,85.66666666666667,48.33563212924119,4,19,11.25,45,8.341662504161466,302,0,0,0,0,29,0,4175,9.561948123620368,11.066666666666666,9.56194812362031,11.066666666666666,3.6082829228617608,11.066666666666666,2,0,2,1,0,Tetragrammaton Labyrinth,Yooh vs. siromaru,436.6265060240937,0,0,166.0,166.0,166.0,166.0
10,17,Challenge,243,(25)-15-(1)-107-(1)-53-(16)-11-(2)-57-(3),5,107,48.6,38.86901079266104,6,25,8.0,48,10.119288512538814,291,6,0,0,1,30,0,4180,10.790492840778889,12.019266666666665,10.790492840778922,12.019266666666665,2.9132071493576523,12.019266666666665,2,5,0,0,1,Extends Levant,HertzDevil,387.3780430309127,2,0,180.289,150.25,167.4073761479732,180.289
