,rating,difficulty,stream_total,breakdown,stream_count,stream_size_max,stream_size_avg,stream_size_std,break_count,break_size_max,break_size_avg,break_total,break_size_std,measure_count,jumps,hands,quads,mines,holds,rolls,step_count,song_nps,nps_per_measure_max,nps_per_measure_avg,nps_per_measure_median,nps_per_measure_std,nps_per_measure_mode,crossovers,footswitches,crossover_footswitches,jacks,invalid_crossovers,title,artist,song_seconds,bpm_change_count,stop_count,bpm_max,bpm_min,bpm_weighted_avg,bpm_mode
0,11,Challenge,26,(5)-1-(4)-1-(7)-1-(1)-3-(1)-4-(4)-1-(1)-1-(1)-3-(1)-2-(2)-1-(1)-6-(1)-1-(9)-1-(2),13.0,6.0,2.0,1.5811388300841898,14.0,9.0,2.857142857142857,40.0,2.5975474485084478,66,3,0,0,5,22,0,817,6.911489898989889,12.841666666666667,6.911489898989899,7.258333333333333,2.2942732333196867,6.7,21,2,0,0,2,Alice in Mystic Garden,DJ TOTTO,118.20895522388076,2,0,134.0,67.0,131.02222222222224,134.0
1,11,Challenge,3,(39)-1-(1)-1-(7)-1-(31),3.0,1.0,1.0,0.0,4.0,39.0,19.5,78.0,18.35755975068582,81,26,4,0,4,57,19,667,3.3463435374149717,9.5875,3.4689814814814817,3.31875,1.67444354225972,2.95,16,25,7,0,6,Damage Per Second,Maozon,199.32203389830474,2,0,177.0,88.5,172.73493975903617,177.0
2,12,Challenge,11,(13)-1-(7)-1-(8)-4-(15)-1-(7)-1-(3)-3-(7),6.0,4.0,1.8333333333333333,1.3291601358251257,7.0,15.0,8.571428571428571,60.0,4.07664661444276,71,46,0,0,29,69,32,757,6.2218443334396065,9.666666666666666,6.218661971830986,6.645833333333333,2.3135487603775093,6.041666666666667,24,51,10,0,4,Discloze,lapix,121.66810344827601,3,0,145.0,128.0,127.04974932510606,128.0
3,11,Challenge,11,(6)-1-(8)-1-(3)-1-(3)-1-(3)-1-(1)-1-(2)-1-(3)-1-(8)-1-(11)-1-(3)-1-(3),11.0,1.0,1.0,0.0,12.0,11.0,4.5,54.0,3.0301515113634467,65,31,0,0,0,37,0,711,6.244038461538452,9.704166666666666,6.244038461538461,6.279166666666667,2.2852878753913672,9.133333333333333,22,9,7,4,3,Exquisite Genesis Scroll,ke-ji,113.86861313868631,2,0,137.0,80.0,-128.44264593934048,137.0
4,13,Challenge,0,(85),,,,,,,,,,85,187,2,0,9,54,0,682,5.917352941176482,17.7,5.91735294117647,5.1625000000000005,4.076117786967802,8.85,3,7,1,1,1,Firestorm,ETIA.,115.25423728813537,0,0,177.0,177.0,177.0,177.0
5,11,Challenge,2,(21)-1-(27)-1-(28),2.0,1.0,1.0,0.0,3.0,28.0,25.333333333333332,76.0,3.7859388972001824,78,63,0,0,6,38,6,683,6.706783695012927,12.333333333333332,6.722084106992338,6.9375,2.4877451143466027,7.708333333333333,34,27,6,0,7,F.K.S,Nizikawa,101.83718918918908,7,2,277.5,92.5,185.00000000000003,185.0
6,10,Challenge,3,(11)-1-(7)-1-(19)-1-(16),3.0,1.0,1.0,0.0,4.0,19.0,13.25,53.0,5.315072906367325,56,35,0,0,20,32,12,573,5.030803571428568,7.866666666666667,5.030803571428572,5.408333333333333,1.7134516228200283,5.9,12,82,2,2,4,Hastur,USAO,113.89830508474584,0,0,118.0,118.0,118.0,118.0
7,12,Challenge,18,(6)-1-(2)-3-(7)-1-(3)-1-(23)-1-(2)-2-(1)-2-(2)-2-(2)-2-(2)-2-(4)-1-(1),11.0,3.0,1.6363636363636365,0.6741998624632421,12.0,23.0,4.583333333333333,55.0,6.097068346692731,73,34,0,0,36,41,3,946,4.8157601115760125,12.166666666666668,5.340476190476191,4.258333333333334,2.1317043644874767,3.954166666666667,24,31,8,0,7,Inner Spirit,lapix,196.43835616438352,9,0,219.0,73.0,145.99999999999997,146.0
8,12,Challenge,20,(20)-5-(1)-2-(17)-9-(1)-1-(1)-1-(1)-1-(1)-1-(2),7.0,9.0,2.857142857142857,3.0783421635988546,8.0,20.0,5.5,44.0,8.071112509614592,64,39,0,0,15,11,0,716,5.993902596799704,11.0,6.305659007650285,5.5,2.384105194815934,5.5,11,9,2,1,2,Like+it!,Ryu,119.4547272727272,2,1,165.0,82.5,161.22137404580153,165.0
9,13,Challenge,37,(4)-1-(1)-1-(3)-3-(1)-3-(4)-3-(1)-6-(1)-5-(4)-15-(4),8.0,15.0,4.625,4.533604683755678,9.0,4.0,2.5555555555555554,23.0,1.509230856356236,60,55,0,0,8,8,0,871,7.621250000000012,11.55,7.621250000000001,7.875,2.532596079627064,7.875,20,47,7,0,10,Ludus In Tenebris,Akhuta,114.2857142857141,0,0,126.0,126.0,126.0,126.0
10,11,Challenge,11,(22)-1-(11)-1-(13)-1-(4)-2-(1)-6-(5),5.0,6.0,2.2,2.16794833886788,6.0,22.0,9.333333333333334,56.0,7.659416862050705,67,31,0,0,51,43,0,589,3.9022771486750174,12.8,3.999999564676617,4.8,3.1015142874785493,0.0,11,16,5,4,3,mavepine,PHQUASE,150.93751098637102,13,0,256.0,64.0,111.3766064251833,128.0
11,9,Hard,4,(53)-1-(2)-2-(2)-1-(6),3.0,2.0,1.3333333333333333,0.5773502691896257,4.0,53.0,15.75,63.0,24.904818810824544,67,10,0,0,50,38,11,479,3.1734987338121106,6.933333333333334,3.2756215174129353,3.2,2.3882111685456944,0.0,11,8,2,1,3,mavepine,PHQUASE,150.93751098637102,13,0,256.0,64.0,111.3766064251833,128.0
12,12,Challenge,14,(23)-3-(3)-1-(11)-5-(16)-2-(5)-3-(8),5.0,5.0,2.8,1.4832396974191326,6.0,23.0,11.0,66.0,7.4565407529228995,80,33,0,0,0,7,0,695,6.73281249999999,12.4,6.7328125000000005,6.5875,3.5921384664106544,6.2,14,7,7,9,4,Niflheimr,Qrispy Joybox,103.22580645161305,0,0,186.0,186.0,186.0,186.0
13,12,Challenge,14,(27)-1-(36)-4-(4)-4-(2)-1-(2)-2-(2)-2-(2),6.0,4.0,2.3333333333333335,1.3662601021279464,7.0,36.0,10.714285714285714,75.0,14.453538041073607,89,46,0,0,10,44,5,857,7.5041178155052695,12.666666666666668,7.521321425523757,7.625000000000001,3.331216123555418,12.666666666666668,2,9,1,1,5,Pon-Pon-Pompoko Dai-Sen-Saw!,é»’é­”,114.2039638862328,10,0,274.5,137.25,182.99841625268115,183.0
14,12,Challenge,29,(4)-2-(2)-5-(2)-1-(2)-1-(4)-1-(2)-1-(5)-5-(3)-13-(3),8.0,13.0,3.625,4.172614801981401,9.0,5.0,3.0,27.0,1.118033988749895,56,15,0,0,0,76,7,779,6.375744047619043,11.458333333333334,6.375744047619048,6.416666666666667,3.0842391285346418,0.0,6,37,2,0,21,Poochie,kors k,122.18181818181827,0,0,110.0,110.0,110.0,110.0
15,14,Challenge,6,(73)-1-(27)-1-(3)-2-(2)-1-(8)-1-(2),5.0,2.0,1.2,0.4472135954999579,6.0,73.0,19.166666666666668,115.0,28.052926169415315,121,64,0,0,0,42,1,967,7.791942148760351,15.600000000000001,7.791942148760331,8.775,4.145175678419273,9.75,17,40,8,0,12,Rebellio,MAX MAXIMIZER VS DJ TOTTO,124.10256410256378,0,0,234.0,234.0,234.0,234.0
16,12,Challenge,5,(16)-1-(12)-2-(17)-1-(14)-1-(2),4.0,2.0,1.25,0.5,5.0,17.0,12.2,61.0,6.016643582596529,66,45,0,0,1,13,0,713,6.526830808080797,9.666666666666666,6.526830808080808,6.645833333333333,1.8905083894302996,7.25,29,16,3,2,6,Recursive Function,OSTER Project,109.24137931034501,0,0,145.0,145.0,145.0,145.0
17,14,Challenge,14,(9)-2-(3)-1-(3)-1-(3)-1-(14)-1-(2)-1-(3)-1-(3)-1-(3)-1-(2)-1-(6)-1-(3)-2-(1),12.0,2.0,1.1666666666666667,0.3892494720807615,13.0,14.0,4.230769230769231,55.0,3.5626265159721267,69,42,0,0,0,53,4,720,6.956521739130435,15.333333333333334,6.956521739130435,7.333333333333333,3.367430045213424,6.666666666666667,20,9,0,1,7,REVOLVER,sky_delta,103.5,0,0,160.0,160.0,160.0,160.0
